Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,% change in TLF1,Bach,% change in TLF1,Beethoven,% change in TLF1,Chopin,% change in TLF1,Gibbons,% change in TLF1,Mozart,Average over pieces,,,Average over all cases
SIARCTTECCompress-RRT,SIATECCompress,Z,Z,RRT,CT,R,-13.4185,0.2439,-0.4053,0.1966,0.0000,0.102,-2.8287,0.1855,0.0000,0.3126,-3.3305,,,
SIARCTTECCompress,SIATECCompress,Z,Z,Z,CT,R,,0.2817,,0.1974,,0.102,,0.1909,,0.3126,,,,
ReSIARTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,Z,R,-14.2706,0.1622,-41.0773,0.1083,-43.2606,0.0442,-0.0555,0.1802,-36.4337,0.1155,-27.0195,,,
ReSIARTECCompress,SIATECCompress,Z,RecurSIA,Z,Z,R,-37.2622,0.1187,-43.2535,0.1043,-44.1592,0.0435,-0.0555,0.1802,-38.3599,0.112,-32.6181,,,
SIARTECCompress-RRT,SIATECCompress,Z,Z,RRT,Z,R,30.9725,0.2478,-0.4897,0.1829,2.6958,0.08,0.0000,0.1803,-2.1464,0.1778,6.2064,,,
SIARTECCompress,SIATECCompress,Z,Z,Z,Z,R,,0.1892,,0.1838,,0.0779,,0.1803,,0.1817,,,,
ReSIACTTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,CT,Z,-37.7352,0.1754,-21.7325,0.1545,-24.7059,0.0768,-3.1430,0.1849,-36.6603,0.198,-24.7954,,,
ReSIACTTECCompress,SIATECCompress,Z,RecurSIA,Z,CT,Z,-34.0078,0.1859,-23.3029,0.1514,-24.7059,0.0768,0.6286,0.1921,-36.3404,0.199,-23.5457,,,
SIACTTECCompress-RRT,SIATECCompress,Z,Z,RRT,CT,Z,-13.4185,0.2439,-0.4053,0.1966,0.0000,0.102,-2.8287,0.1855,0.0000,0.3126,-3.3305,,,
SIACTTECCompress,SIATECCompress,Z,Z,Z,CT,Z,,0.2817,,0.1974,,0.102,,0.1909,,0.3126,,,,
ReSIATECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,Z,Z,-14.6564,0.1776,-39.4334,0.1069,-51.4028,0.0485,-20.2192,0.1456,-44.3750,0.1335,-34.0174,,,
ReSIATECCompress,SIATECCompress,Z,RecurSIA,Z,Z,Z,-18.7890,0.169,-43.6827,0.0994,-49.6994,0.0502,-20.2192,0.1456,-39.6250,0.1449,-34.4031,,,
SIATECCompress-RRT,SIATECCompress,Z,Z,RRT,Z,Z,23.7866,0.2576,-2.5496,0.172,-9.1182,0.0907,0.0000,0.1825,-5.7500,0.2262,1.2738,,,
SIATECCompress,SIATECCompress,Z,Z,Z,Z,Z,,0.2081,,0.1765,,0.0998,,0.1825,,0.24,,,,
,,,,,,,,,,,,,,,,,,,,
